year,scenario,aep_mwh,hub_price,capture_rate,hedge_active,contracted_rev,merchant_rev,total_rev,fixed_om,variable_om,land_lease,insurance,total_opex,ebitda,ebitda_margin,cfads
2025,base,1461098.0,33.660000000000004,0.8,True,26438568.31,9049222.797120001,35487791.10712,13989500.0,5113843.0,2398200.0,1398950.0,22900493.0,12587298.10712,0.35469376127483404,12587298.10712
2026,base,1453792.51,34.3332,0.8,True,26306375.468450002,9184056.216797087,35490431.68524709,14339237.499999998,5215480.629625,2458155.0,1433923.7499999998,23446796.879625,12043634.805622093,0.3393487831433866,12043634.805622093
2027,base,1446523.54745,35.019864000000005,0.8,True,26174843.591107752,9320898.654427364,35495742.24553512,14697718.437499998,5319138.307138796,2519608.875,1469771.84375,24006237.463388793,11489504.782146327,0.3236868439789155,11489504.782146327
2028,base,1439290.92971275,35.72026128,0.8,False,0.0,41129478.45381884,41129478.45381884,15065161.398437494,5424856.180993179,2582599.0968749993,1506516.1398437496,24579132.816149425,16550345.637669418,0.40239619513416736,16550345.637669418
2029,base,1432094.4750641861,36.4346665056,0.8,False,0.0,41742307.682780735,41742307.682780735,15441790.433398431,5532675.197590417,2647164.074296874,1544179.0433398432,25165808.748625565,16576498.93415517,0.3971150579437945,16576498.93415517
2030,base,1424934.0026888652,37.163359835712,0.8,False,0.0,42364268.06725417,42364268.06725417,15827835.19423339,5642637.1171425255,2713343.1761542954,1582783.519423339,25766599.006953552,16597669.060300618,0.3917846293001326,16597669.060300618
2031,base,1417809.332675421,37.90662703242624,0.8,False,0.0,42995495.66145626,42995495.66145626,16223531.074089224,5754784.529845733,2781176.7555581527,1622353.1074089224,26381845.466902032,16613650.194554225,0.38640443467308827,16613650.194554225
2032,base,1410720.2860120437,38.66475957307477,0.8,False,0.0,43636128.54681196,43636128.54681196,16629119.350941455,5869160.872376417,2850706.1744471067,1662911.9350941456,27011898.332859125,16624230.213952836,0.38097399488863215,16624230.213952836
2033,base,1403666.6845819836,39.43805476453627,0.8,False,0.0,44286306.86215946,44286306.86215946,17044847.334714986,5985810.444714897,2921973.8288082834,1704484.7334714988,27657116.341709666,16629190.520449795,0.375492826082968,16629190.520449795
2034,base,1396648.3511590736,40.22681585982699,0.8,False,0.0,44946172.83440563,44946172.83440563,17470968.51808286,6104778.427303607,2995023.1745284908,1747096.8518082863,28317866.971723247,16628305.862682384,0.36996043965624725,16628305.862682384
2035,base,1389665.1094032784,41.03135217702353,0.8,False,0.0,45615870.809638284,45615870.809638284,17907742.73103493,6226110.898546265,3069898.7538917023,1790774.273103493,28994526.656576395,16621344.15306189,0.3643763422258274,16621344.15306189
2036,base,1382716.783856262,41.851979220564004,0.8,False,0.0,46295547.2847019,46295547.2847019,18355436.299310803,6349854.852654872,3146646.222738995,1835543.6299310804,29687481.004635755,16608066.280066144,0.3587400355790628,16608066.280066144
2037,base,1375803.1999369806,42.689018804975284,0.8,False,0.0,46985350.93924395,46985350.93924395,18814322.206793573,6476058.217851386,3225312.3783074697,1881432.2206793572,30397125.023631785,16588225.915612165,0.3530510166256319,16588225.915612165
2038,base,1368924.1839372958,43.54279918107479,0.8,False,0.0,47685432.66823869,47685432.66823869,19284680.26196341,6604769.874931182,3305945.187765156,1928468.0261963408,31123863.350856088,16561569.317382604,0.34730877734938925,16561569.317382604
2039,base,1362079.5630176093,44.41365516469629,0.8,False,0.0,48395945.61499545,48395945.61499545,19766797.268512495,6736039.67619544,3388593.817459285,1976679.7268512496,31868110.48901847,16527835.12597698,0.3415128047597409,16527835.12597698
