year,scenario,aep_mwh,hub_price,capture_rate,hedge_active,contracted_rev,merchant_rev,total_rev,fixed_om,variable_om,land_lease,insurance,total_opex,ebitda,ebitda_margin,cfads
2025,bear,1136517.4,33.660000000000004,0.75,True,20565282.353,6599017.805489998,27164300.15849,13989500.0,3977810.8999999994,2398200.0,1398950.0,21764460.9,5399839.25849,0.19878440552433377,5399839.25849
2026,bear,1130834.8129999998,34.3332,0.75,True,20462455.941235,6697343.170791799,27159799.112026796,14339237.499999998,4056869.891637499,2458155.0,1433923.7499999998,22288186.141637497,4871612.970389299,0.17936852000617598,4871612.970389299
2027,bear,1125180.638935,35.019864000000005,0.75,True,20360143.661528826,6797133.584036599,27157277.245565426,14697718.437499998,4137500.180733795,2519608.875,1469771.84375,22824599.336983792,4332677.908581633,0.15954021713605793,4332677.908581633
2028,bear,1119554.735740325,35.72026128,0.75,False,0.0,29993090.75842932,29993090.75842932,15065161.398437494,4219732.9968258785,2582599.0968749993,1506516.1398437496,23374009.631982125,6619081.126447193,0.2206868635099553,6619081.126447193
2029,bear,1113956.962061623,36.4346665056,0.75,False,0.0,30439987.810729913,30439987.810729913,15441790.433398431,4303600.190137791,2647164.074296874,1544179.0433398432,23936733.74117294,6503254.069556974,0.2136418092540962,6503254.069556974
2030,bear,1108387.1772513152,37.163359835712,0.75,False,0.0,30893543.629109792,30893543.629109792,15827835.19423339,4389134.243916781,2713343.1761542954,1582783.519423339,24513096.133727808,6380447.495381985,0.20653012720010325,6380447.495381985
2031,bear,1102845.2413650586,37.90662703242624,0.75,False,0.0,31353857.42918353,31353857.42918353,16223531.074089224,4476368.287014626,2781176.7555581527,1622353.1074089224,25103429.22407092,6250428.20511261,0.19935117135841918,6250428.20511261
2032,bear,1097331.0151582332,38.66475957307477,0.75,False,0.0,31821029.904878363,31821029.904878363,16629119.350941455,4565336.106719041,2850706.1744471067,1662911.9350941456,25708073.56720175,6112956.3376766145,0.192104289394463,6112956.3376766145
2033,bear,1091844.3600824422,39.43805476453627,0.75,False,0.0,32295163.250461057,32295163.250461057,17044847.334714986,4656072.161840081,2921973.8288082834,1704484.7334714988,26327378.05883485,5967785.191626206,0.18478882256589949,5967785.191626206
2034,bear,1086385.13828203,40.22681585982699,0.75,False,0.0,32776361.182892926,32776361.182892926,17470968.51808286,4748611.596056653,2995023.1745284908,1747096.8518082863,26961700.14047629,5814661.042416636,0.17740410565927925,5814661.042416636
2035,bear,1080953.2125906197,41.03135217702353,0.75,False,0.0,33264728.964518026,33264728.964518026,17907742.73103493,4842990.251528278,3069898.7538917023,1790774.273103493,27611406.009558406,5653322.95495962,0.1699494669260574,5653322.95495962
2036,bear,1075548.4465276666,41.851979220564004,0.75,False,0.0,33760373.426089354,33760373.426089354,18355436.299310803,4939244.682777403,3146646.222738995,1835543.6299310804,28276870.834758285,5483502.591331068,0.16242422801797343,5483502.591331068
2037,bear,1070170.7042950282,42.689018804975284,0.75,False,0.0,34263402.990138076,34263402.990138076,18814322.206793573,5037412.170847603,3225312.3783074697,1881432.2206793572,28958478.976628,5304924.0135100745,0.15482770392179007,5304924.0135100745
2038,bear,1064819.8507735531,43.54279918107479,0.75,False,0.0,34773927.69469114,34773927.69469114,19284680.26196341,5137530.737743198,3305945.187765156,1928468.0261963408,29656624.213668104,5117303.481023032,0.1471592028933873,5117303.481023032
2039,bear,1059495.7515196854,44.41365516469629,0.75,False,0.0,35292059.217342034,35292059.217342034,19766797.268512495,5239639.161155844,3388593.817459285,1976679.7268512496,30371709.973978873,4920349.243363161,0.13941802639119932,4920349.243363161
