year,scenario,aep_mwh,hub_price,capture_rate,hedge_active,contracted_rev,merchant_rev,total_rev,fixed_om,variable_om,land_lease,insurance,total_opex,ebitda,ebitda_margin,cfads
2025,bull,1461098.0,33.660000000000004,0.8300000000000001,True,26438568.31,9388568.652012002,35827136.962012,13989500.0,5113843.0,2398200.0,1398950.0,22900493.0,12926643.962012,0.36080594371016295,12926643.962012
2026,bull,1453792.51,34.3332,0.8300000000000001,True,26306375.468450002,9528458.324926978,35834833.79337698,14339237.499999998,5215480.629625,2458155.0,1433923.7499999998,23446796.879625,12388036.913751982,0.3456981825332631,12388036.913751982
2027,bull,1446523.54745,35.019864000000005,0.8300000000000001,True,26174843.591107752,9670432.353968391,35845275.945076145,14697718.437499998,5319138.307138796,2519608.875,1469771.84375,24006237.463388793,11839038.481687352,0.3302816945760913,11839038.481687352
2028,bull,1439290.92971275,35.72026128,0.8300000000000001,False,0.0,42671833.89583705,42671833.89583705,15065161.398437494,5424856.180993179,2582599.0968749993,1506516.1398437496,24579132.816149425,18092701.07968763,0.4239963326594384,18092701.07968763
2029,bull,1432094.4750641861,36.4346665056,0.8300000000000001,False,0.0,43307644.22088501,43307644.22088501,15441790.433398431,5532675.197590417,2647164.074296874,1544179.0433398432,25165808.748625565,18141835.472259443,0.41890607994582596,18141835.472259443
2030,bull,1424934.0026888652,37.163359835712,0.8300000000000001,False,0.0,43952928.119776204,43952928.119776204,15827835.19423339,5642637.1171425255,2713343.1761542954,1582783.519423339,25766599.006953552,18186329.112822652,0.41376831739771813,18186329.112822652
2031,bull,1417809.332675421,37.90662703242624,0.8300000000000001,False,0.0,44607826.74876087,44607826.74876087,16223531.074089224,5754784.529845733,2781176.7555581527,1622353.1074089224,26381845.466902032,18225981.28185884,0.4085825876367117,18225981.28185884
2032,bull,1410720.2860120437,38.66475957307477,0.8300000000000001,False,0.0,45272483.36731741,45272483.36731741,16629119.350941455,5869160.872376417,2850706.1744471067,1662911.9350941456,27011898.332859125,18260585.034458283,0.4033484288083201,18260585.034458283
2033,bull,1403666.6845819836,39.43805476453627,0.8300000000000001,False,0.0,45947043.369490445,45947043.369490445,17044847.334714986,5985810.444714897,2921973.8288082834,1704484.7334714988,27657116.341709666,18289927.02778078,0.39806537453780055,18289927.02778078
2034,bull,1396648.3511590736,40.22681585982699,0.8300000000000001,False,0.0,46631654.315695845,46631654.315695845,17470968.51808286,6104778.427303607,2995023.1745284908,1747096.8518082863,28317866.971723247,18313787.343972597,0.3927329538855395,18313787.343972597
2035,bull,1389665.1094032784,41.03135217702353,0.8300000000000001,False,0.0,47326465.96499972,47326465.96499972,17907742.73103493,6226110.898546265,3069898.7538917023,1790774.273103493,28994526.656576395,18331939.308423325,0.3873506913020023,18331939.308423325
2036,bull,1382716.783856262,41.851979220564004,0.8300000000000001,False,0.0,48031630.30787822,48031630.30787822,18355436.299310803,6349854.852654872,3146646.222738995,1835543.6299310804,29687481.004635755,18344149.303242464,0.3819181065822292,18344149.303242464
2037,bull,1375803.1999369806,42.689018804975284,0.8300000000000001,False,0.0,48747301.5994656,48747301.5994656,18814322.206793573,6476058.217851386,3225312.3783074697,1881432.2206793572,30397125.023631785,18350176.575833816,0.3764347148198862,18350176.575833816
2038,bull,1368924.1839372958,43.54279918107479,0.8300000000000001,False,0.0,49473636.39329764,49473636.39329764,19284680.26196341,6604769.874931182,3305945.187765156,1928468.0261963408,31123863.350856088,18349773.042441554,0.3709000263608571,18349773.042441554
2039,bull,1362079.5630176093,44.41365516469629,0.8300000000000001,False,0.0,50210793.575557776,50210793.575557776,19766797.268512495,6736039.67619544,3388593.817459285,1976679.7268512496,31868110.48901847,18342683.086539306,0.36531354675637673,18342683.086539306
